"Total Parent 
Response Rate %",Total Teacher Response Rate %,Total Student Response Rate %,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,DBN,School Name
49.0,77.0,82.63569539860461,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.81,05M036,P.S. 036 MARGARET DOUGLAS
50.0,33.0,98.0,2.53,2.37,2.32,3.36,3.27,05M046,P.S. 046 ARTHUR TAPPAN
80.0,94.0,95.55901519616827,3.29,3.3,2.81,2.74,3.15,05M092,P.S. 092 MARY MCLEOD BETHUNE
5.0,75.0,16.0,3.29,3.48,3.39,3.09,3.09,05M123,P.S. 123 MAHALIA JACKSON
50.0,86.0,84.88986095111886,3.11,3.53,3.51,3.42,3.32,05M125,P.S. 125 RALPH BUNCHE
41.0,100.0,71.0,2.62,3.28,2.4,3.97,3.04,05M129,P.S. 129 JOHN H. FINLEY
31.0,81.0,91.0,3.39,3.43,2.72,3.47,3.3,05M133,P.S. 133 FRED R MOORE
65.0,100.0,90.51754723687769,3.18,3.06,3.19,3.93,3.23,05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM
98.0,100.0,105.18651726511935,3.08,3.06,3.22,3.59,2.18,05M154,P.S. 154 HARRIET TUBMAN
100.0,81.0,96.67788652800228,3.74,3.9,3.3,4.74,4.85,05M157,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE
36.0,80.0,78.19970600084798,3.26,3.11,2.9,3.25,3.44,05M161,P.S. 161 PEDRO ALBIZU CAMPOS
19.0,72.0,50.0,2.43,2.82,2.73,2.46,3.44,05M175,P.S. 175 HENRY H GARNET
50.0,79.0,86.0,3.03,3.36,2.73,3.74,3.17,05M194,P.S. 194 COUNTEE CULLEN
95.0,89.0,100.0,2.86,3.04,2.33,4.25,3.38,05M197,P.S. 197 JOHN B. RUSSWURM
72.0,100.0,90.89704201569461,4.36,3.77,3.79,4.49,4.14,05M200,P.S. 200- THE JAMES MCCUNE SMITH SCHOOL
26.0,54.0,59.0,4.22,4.48,4.79,3.72,3.87,05M285,HARLEM RENAISSANCE HIGH SCHOOL
32.0,96.0,58.0,3.39,3.6,3.23,2.94,3.7,05M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADERS
10.0,58.0,64.0,2.06,1.98,1.94,1.66,2.51,05M304,MOTT HALL HIGH SCHOOL
19.0,82.0,82.0,2.49,2.03,2.53,4.3,2.87,05M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL
70.0,100.0,99.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.64,05M362,COLUMBIA SECONDARY SCHOOL
22.0,76.0,71.0,3.97,3.59,2.95,3.3,3.58,05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS
31.0,100.0,85.0,4.15,3.45,4.82,3.87,3.55,05M499,FREDERICK DOUGLASS ACADEMY
95.0,98.0,99.46023337735556,3.25,3.38,3.02,4.01,3.62,05M514,NEW DESIGN MIDDLE SCHOOL
79.0,92.0,92.31081245755277,3.64,4.21,3.3,4.01,4.09,05M517,TEACHERS COLLEGE COMMUNITY SCHOOL
100.0,75.0,100.59009843124858,3.58,3.49,3.83,4.27,3.8,05M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE
89.0,100.0,98.0,4.31,4.15,3.65,4.15,4.66,05M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE"
92.0,100.0,100.13965142794679,4.23,4.1,4.71,3.98,4.16,06M004,P.S. 004 DUKE ELLINGTON
82.0,35.0,91.85088959706331,3.83,3.08,3.08,3.25,3.37,06M005,P.S. 005 ELLEN LURIE
81.0,100.0,97.0,3.57,2.96,3.57,4.0,3.88,06M008,P.S. 008 LUIS BELLIARD
84.0,84.0,97.38347813886084,2.8,2.79,3.03,3.33,2.88,06M018,P.S. 018 PARK TERRACE
85.0,91.0,94.66418733853506,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,4.48,06M028,P.S. 028 WRIGHT BROTHERS
79.0,100.0,93.46300098190105,3.88,3.62,3.57,3.93,4.17,06M048,P.S. 048 P.O. MICHAEL J. BUCZEK
66.0,96.0,89.49558131074325,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.99,06M052,HAROLD O. LEVY SCHOOL
77.0,96.0,95.25915625452632,3.01,3.58,3.16,3.25,3.03,06M098,P.S. 098 SHORAC KAPPOCK
73.0,100.0,98.0,3.78,3.27,2.89,2.71,4.19,06M103,DOS PUENTES ELEMENTARY SCHOOL
100.0,93.0,100.14919044671196,3.49,4.5,3.63,4.23,4.14,06M115,P.S. 115 ALEXANDER HUMBOLDT
94.0,73.0,99.25297298983716,4.16,3.43,4.28,4.4,3.71,06M128,P.S. 128 AUDUBON
81.0,92.0,90.8921148457541,3.66,3.6,2.32,4.32,4.13,06M132,P.S. 132 JUAN PABLO DUARTE
100.0,100.0,100.14577348421975,4.7,3.96,4.11,4.57,4.58,06M143,J.H.S. 143 ELEANOR ROOSEVELT
89.0,100.0,96.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.63,06M152,P.S. 152 DYCKMAN VALLEY
93.0,98.0,98.18659799109122,3.49,3.49,3.21,4.1,3.93,06M153,P.S. 153 ADAM CLAYTON POWELL
100.0,88.0,100.34847355867622,3.11,2.67,3.05,3.7,3.96,06M173,P.S. 173
76.0,77.0,95.0,3.15,3.85,3.66,3.74,3.31,06M178,PROFESSOR JUAN BOSCH PUBLIC SCHOOL
100.0,92.0,99.0,3.74,4.18,3.92,4.06,4.05,06M187,P.S./I.S. 187 HUDSON CLIFFS
54.0,97.0,86.0,2.38,3.24,2.36,3.84,3.84,06M189,P.S. 189
77.0,100.0,100.0,3.76,3.74,2.84,3.89,4.18,06M192,P.S. 192 JACOB H. SCHIFF
80.0,97.0,99.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,4.13,06M209,HAMILTON GRANGE MIDDLE SCHOOL
77.0,46.0,86.0,3.3,3.33,3.17,3.57,3.89,06M210,P.S./I.S. 210 - TWENTY-FIRST CENTURY ACADEMY FOR COMMUNITY LEADERSHIP
89.0,100.0,99.0,3.93,4.18,3.93,4.15,4.24,06M211,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES
79.0,100.0,91.87037612665611,4.54,4.59,3.87,4.57,4.62,06M223,THE MOTT HALL SCHOOL
88.0,94.0,97.0,4.3,3.79,4.77,4.4,4.19,06M278,PAULA HEDBAVNY SCHOOL
99.0,80.0,99.0,4.28,4.35,4.67,4.59,4.06,06M293,CITY COLLEGE ACADEMY OF THE ARTS
86.0,74.0,99.0,4.5,3.66,4.75,2.87,3.6,06M311,AMISTAD DUAL LANGUAGE SCHOOL
93.0,84.0,92.0,3.31,3.64,2.45,4.15,3.74,06M314,MUSCOTA
53.0,100.0,80.0,4.71,4.5,3.77,4.15,4.39,06M319,M.S. 319 - MARIA TERESA
37.0,71.0,77.0,4.05,4.14,4.7,3.13,4.17,06M322,MIDDLE SCHOOL 322
100.0,100.0,100.0,3.52,3.73,3.57,4.23,4.1,06M324,M.S. 324 - PATRIA MIRABAL
85.0,94.0,100.0,4.03,3.68,4.14,4.32,3.74,06M328,COMMUNITY MATH & SCIENCE PREP
100.0,100.0,97.48657421338875,3.53,3.28,2.54,4.35,4.65,06M346,COMMUNITY HEALTH ACADEMY OF THE HEIGHTS
69.0,95.0,72.0,3.61,3.62,3.4,4.28,3.7,06M348,WASHINGTON HEIGHTS EXPEDITIONARY LEARNING SCHOOL
24.0,68.0,45.0,4.22,4.9,3.98,4.42,4.52,06M349,HARBOR HEIGHTS
59.0,94.0,85.0,3.44,3.52,3.56,3.56,3.23,06M366,WASHINGTON HEIGHTS ACADEMY
73.0,100.0,89.0,2.66,3.28,2.24,3.81,3.65,06M368,HAMILTON HEIGHTS SCHOOL
67.0,91.0,76.0,3.5,3.67,2.9,4.28,4.49,06M423,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION
83.0,100.0,92.0,3.41,3.93,3.49,4.77,4.01,06M457,GEORGE WASHINGTON YABC
52.0,75.0,82.7497074383219,4.04,3.5,3.67,4.57,3.85,06M462,THE COLLEGE ACADEMY
100.0,100.0,100.0,3.87,3.99,3.95,4.4,4.11,06M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS
20.0,75.0,45.0,3.4,3.46,2.76,2.94,3.48,06M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE
54.0,97.0,76.0,3.92,4.2,3.69,4.38,4.41,06M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES
98.0,41.0,97.82797717798755,2.75,2.78,2.34,3.16,3.0,06M513,CASTLE BRIDGE SCHOOL
44.0,70.0,88.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,2.47,06M528,I.S. 528 BEA FULLER RODGERS SCHOOL
100.0,100.0,100.17161142007939,3.35,3.59,3.01,4.01,4.04,06M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL
40.0,73.0,78.43044827823762,3.55,4.16,3.48,4.15,3.73,06M552,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS
48.0,89.0,88.0,3.14,1.88,3.85,3.21,2.5,07X001,P.S. 001 COURTLANDT SCHOOL
67.0,58.0,87.18745619616324,3.35,3.51,3.37,4.1,3.71,07X005,P.S. 5 PORT MORRIS
64.0,97.0,96.0,3.04,3.05,2.12,2.99,3.43,07X018,P.S. 018 JOHN PETER ZENGER
52.0,96.0,84.37253370498391,3.91,3.97,3.6,3.59,3.93,07X025,P.S. 025 BILINGUAL SCHOOL
69.0,100.0,92.39298894718056,4.3,3.9,4.28,4.06,3.64,07X029,P.S./M.S. 029 MELROSE SCHOOL
74.0,92.0,92.72635280268597,3.28,3.61,3.33,3.5,3.54,07X030,P.S. 030 WILTON
65.0,96.0,94.0,3.6,3.64,3.44,4.31,3.97,07X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON
77.0,94.0,94.0761734895857,4.19,4.08,4.28,4.06,3.92,07X043,P.S. 043 JONAS BRONCK
40.0,69.0,79.39257452232683,3.52,3.53,3.51,3.42,3.59,07X049,P.S. 049 WILLIS AVENUE
65.0,87.0,89.34453231290817,2.89,2.93,3.03,3.42,3.42,07X065,P.S. 065 MOTHER HALE ACADEMY
56.0,100.0,83.4374275417587,3.83,3.74,2.5,3.67,4.08,07X151,J.H.S. 151 LOU GEHRIG
77.0,100.0,99.0,4.74,4.15,4.53,3.3,4.15,07X154,P.S. 154 JONATHAN D. HYATT
69.0,87.0,93.0,4.1,3.21,4.59,3.15,3.52,07X157,P.S. 157 GROVE HILL
71.0,64.0,89.0,1.96,2.88,2.57,3.71,2.72,07X161,P.S. 161 JUAN PONCE DE LEON SCHOOL
15.0,82.0,58.0,4.23,4.39,3.95,3.69,4.16,07X179,P.S. 179
34.0,100.0,81.61729497639213,2.98,3.06,3.11,3.67,2.43,07X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL
66.0,100.0,94.0,3.63,3.77,3.09,3.22,3.73,07X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X223
91.0,96.0,96.0,2.8,3.69,3.21,3.8,3.48,07X224,P.S./I.S. 224
35.0,100.0,91.0,4.25,4.19,4.04,3.89,3.9,07X259,"H.E.R.O. HIGH (HEALTH, EDUCATION, AND RESEARCH OCCUPATIONS HIGH SCHOOL)"
45.0,100.0,92.0,4.52,3.96,4.01,3.52,3.79,07X277,P.S. 277
75.0,100.0,91.63649585709393,4.81,4.84,4.62,4.4,4.75,07X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA
87.0,97.0,95.00007308413007,3.93,3.86,3.82,4.27,4.67,07X298,ACADEMY OF PUBLIC RELATIONS
7.0,81.0,34.0,3.72,3.85,3.51,3.56,3.97,07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL
55.0,100.0,84.0,2.88,3.16,3.05,1.55,2.97,07X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY
58.0,96.0,90.0,4.93,4.87,4.53,4.87,4.83,07X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL
29.0,100.0,65.0,3.89,4.31,3.62,3.82,4.48,07X369,YOUNG LEADERS ELEMENTARY SCHOOL
54.0,97.0,84.0,2.81,3.05,2.65,3.36,3.3,07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL
83.0,92.0,97.0,3.94,4.75,3.76,4.94,4.35,07X381,BRONX HAVEN HIGH SCHOOL
30.0,70.0,83.0,3.7,3.59,3.23,3.58,3.89,07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE
21.0,77.0,71.0,2.31,1.72,2.7,3.47,2.37,07X456,ALFRED E. SMITH CAMPUS YABC
29.0,84.0,78.0,3.9,3.32,3.11,3.87,3.7,07X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL
18.0,87.0,62.0,3.98,3.91,3.39,2.65,3.64,07X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL
11.0,89.0,43.0,3.68,3.91,4.42,3.3,3.88,07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE
78.0,91.0,81.0,3.92,4.06,2.93,4.62,4.66,07X522,BRONX DESIGN AND CONSTRUCTION ACADEMY
39.0,93.0,100.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.46,07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL
31.0,40.0,86.0,2.89,3.12,2.26,3.64,3.11,07X548,CAREERS IN SPORTS HIGH SCHOOL
75.0,100.0,79.0,2.5,2.26,2.14,1.63,1.99,07X551,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS
45.0,74.0,79.48697582019767,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,4.42,07X557,MOTT HAVEN COMMUNITY HIGH SCHOOL
65.0,84.0,87.17705758364893,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,4.45,07X584,I.S. 584
38.0,71.0,82.2182037429161,2.33,2.78,2.88,2.74,2.18,07X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
50.0,87.0,81.83712580362028,4.32,3.96,3.25,4.15,3.91,07X670,HEALTH OPPORTUNITIES HIGH SCHOOL
53.0,87.0,85.60717010024203,4.46,3.97,4.54,3.89,3.97,08X014,P.S. X014 SENATOR JOHN CALANDRA
42.0,72.0,99.0,4.18,3.31,3.86,3.55,3.56,08X036,P.S. 036 UNIONPORT
55.0,100.0,86.74412034333221,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.64,08X048,P.S. 048 JOSEPH R. DRAKE
61.0,88.0,88.54934497357524,3.89,3.94,4.31,3.81,3.86,08X062,P.S. 062 INOCENSIO CASANOVA
43.0,61.0,82.53281232272853,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,2.57,08X069,P.S. 069 JOURNEY PREP SCHOOL
50.0,100.0,86.46625590650291,4.0,3.37,3.93,3.42,3.34,08X071,P.S. 071 ROSE E. SCALA
73.0,67.0,93.0,3.76,3.33,3.69,3.61,3.52,08X072,P.S. 072 DR. WILLIAM DORNEY
86.0,100.0,96.66738739068205,3.65,3.64,3.29,3.59,3.77,08X075,P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY
56.0,59.0,85.9229667973913,2.13,2.78,2.98,3.16,2.91,08X093,P.S. 093 ALBERT G. OLIVER
47.0,88.0,93.0,3.82,3.86,3.26,3.55,4.06,08X100,P.S. 100 ISAAC CLASON
90.0,100.0,96.81904578706042,3.49,3.12,2.37,4.15,3.45,08X101,M.S. X101 EDWARD R. BYRNE
39.0,98.0,98.0,3.2,3.5,3.01,3.39,3.17,08X107,P.S. 107
55.0,73.0,84.90484617300424,3.15,2.62,2.98,3.59,3.33,08X119,THE DR. EMMETT W. BASSETT SCHOOL
52.0,76.0,83.54934502378615,2.79,2.88,2.33,3.42,3.03,08X123,J.H.S. 123 JAMES M. KIERAN
58.0,85.0,89.79891343146811,3.01,3.12,3.12,2.74,2.42,08X130,P.S. 130 ABRAM STEVENS HEWITT
34.0,39.0,80.03807193776981,2.35,3.02,3.77,2.82,2.3,08X131,J.H.S. 131 ALBERT EINSTEIN
41.0,73.0,81.28629882189861,3.36,3.04,3.71,3.89,3.22,08X138,P.S. 138 SAMUEL RANDALL
59.0,84.0,80.0,2.37,2.74,2.6,2.52,2.91,08X140,P.S. X140 THE EAGLE SCHOOL
70.0,95.0,87.0,3.51,3.31,3.31,2.14,2.39,08X146,P.S. 146 EDWARD COLLINS
50.0,100.0,92.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,4.27,08X152,P.S. 152 EVERGREEN
51.0,91.0,76.0,3.81,3.81,3.37,2.57,3.52,08X182,P.S. 182
82.0,100.0,79.0,3.17,3.87,3.82,4.01,3.73,08X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS
70.0,86.0,89.99700708259076,3.66,3.85,3.54,4.32,3.75,08X282,WOMEN'S ACADEMY OF EXCELLENCE
35.0,94.0,79.0,3.12,2.92,2.13,3.13,3.51,08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER AND THE ARTS
30.0,93.0,55.0,3.35,3.52,3.01,3.95,3.52,08X301,M.S. 301 PAUL L. DUNBAR
69.0,56.0,88.08675097243035,2.69,2.65,2.54,3.67,3.24,08X302,M.S. 302 LUISA DESSUS CRUZ
44.0,98.0,95.0,4.34,3.34,4.76,3.22,3.39,08X304,P.S. 304 EARLY CHILDHOOD SCHOOL
19.0,100.0,83.0,3.37,3.5,2.41,3.79,3.64,08X312,MILLENNIUM ART ACADEMY
52.0,100.0,84.0,3.85,3.85,3.43,3.15,2.98,08X320,PELHAM LAB HIGH SCHOOL
24.0,92.0,80.0,2.57,3.06,3.23,2.23,2.61,08X333,THE LONGWOOD ACADEMY OF DISCOVERY
85.0,83.0,95.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.44,08X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE
92.0,100.0,86.0,3.33,3.34,3.53,3.08,3.24,08X348,SCHUYLERVILLE PREPARATORY HIGH SCHOOL
31.0,81.0,86.0,2.45,2.95,2.15,2.79,3.14,08X349,BRONX RIVER HIGH SCHOOL
6.0,94.0,64.0,3.49,3.48,2.58,4.03,4.64,08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS"
82.0,85.0,94.58051980060935,4.13,3.64,3.6,4.15,3.67,08X371,URBAN INSTITUTE OF MATHEMATICS
30.0,79.0,66.0,3.23,3.14,3.1,2.73,3.22,08X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL
14.0,96.0,64.0,4.41,4.8,4.15,2.82,4.12,08X376,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL
63.0,64.0,87.0,1.95,2.78,1.87,3.71,2.24,08X377,BRONX COMMUNITY HIGH SCHOOL
69.0,97.0,92.0,3.62,3.92,2.69,4.03,3.94,08X392,BRONX DELTA SCHOOL
60.0,97.0,96.0,3.64,2.46,4.11,3.94,3.13,08X405,HERBERT H. LEHMAN HIGH SCHOOL
13.0,96.0,62.0,3.62,3.99,3.36,3.78,4.2,08X408,HERBERT H. LEHMAN YABC
34.0,75.0,96.0,2.39,2.72,2.2,3.28,3.44,08X424,THE HUNTS POINT SCHOOL
26.0,94.0,62.0,4.5,3.78,3.58,4.44,4.29,08X432,BRONX BRIDGES HIGH SCHOOL
23.0,83.0,74.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,2.94,08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP
18.0,69.0,72.0,2.04,2.5,2.25,1.38,1.71,08X452,GOTHAM COLLABORATIVE HIGH SCHOOL
18.0,68.0,86.0,1.96,2.56,1.99,2.41,3.4,08X467,MOTT HALL COMMUNITY SCHOOL
70.0,100.0,90.18194655581976,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,4.39,08X530,LONGWOOD PREPARATORY ACADEMY
32.0,30.0,73.69563220360541,4.02,3.52,3.93,4.49,3.66,08X558,WESTCHESTER SQUARE ACADEMY
56.0,90.0,71.0,3.46,3.74,3.39,3.6,3.86,08X559,SCHOOL FOR TOURISM AND HOSPITALITY
20.0,65.0,74.63528265170444,3.18,3.12,3.52,3.5,2.65,08X561,BRONX COMPASS HIGH SCHOOL
58.0,80.0,85.08595132678185,3.59,3.4,3.53,4.01,4.02,08X562,BLUEPRINT MIDDLE SCHOOL
69.0,95.0,90.9183208672119,3.64,3.81,3.37,4.15,3.4,08X583,P.S. 583
66.0,91.0,92.5520140111825,3.56,3.52,3.42,3.08,2.63,09X004,P.S./M.S. 004 CROTONA PARK WEST
65.0,88.0,89.5137874417211,2.96,3.32,3.15,3.5,3.38,09X011,P.S. 011 HIGHBRIDGE
54.0,68.0,82.7825340469903,3.87,3.5,3.41,3.93,3.92,09X022,J.H.S. 022 JORDAN L. MOTT
46.0,100.0,81.86472024587476,3.36,3.56,3.08,3.84,3.82,09X028,P.S. 028 MOUNT HOPE
41.0,79.0,80.39691956293827,3.68,3.54,3.51,3.76,3.48,09X035,P.S. 035 FRANZ SIEGEL
39.0,77.0,80.88607592617475,2.61,2.62,2.31,2.74,2.53,09X042,P.S. 042 CLAREMONT
47.0,100.0,84.75548327113901,2.19,2.18,1.86,3.08,2.39,09X053,P.S. 053 BASHEER QUISIM
63.0,100.0,90.42414751916982,2.66,2.98,2.84,3.89,2.78,09X055,P.S. 055 BENJAMIN FRANKLIN
52.0,68.0,84.34229555964366,3.41,3.4,3.51,2.91,3.47,09X058,P.S. 058
92.0,84.0,90.0,3.35,3.57,2.99,4.52,3.8,09X063,P.S. 063 AUTHOR'S ACADEMY
79.0,65.0,95.4624466790431,2.29,2.75,2.62,2.65,2.35,09X070,P.S. 070 MAX SCHOENFELD
56.0,52.0,96.0,4.43,4.23,4.06,3.35,3.86,09X073,P.S. 073 BRONX
47.0,42.0,83.1122637440316,3.17,2.89,2.98,2.31,2.4,09X088,P.S. X088 - S. SILVERSTEIN LITTLE SPARROW SCHOOL
49.0,62.0,82.90417320192857,2.5,3.0,2.93,3.33,3.03,09X109,P.S. 109 SEDGWICK
60.0,87.0,86.00900677102163,4.18,4.37,3.63,3.89,4.0,09X114,P.S. X114 - LUIS LLORENS TORRES SCHOOLS
100.0,100.0,101.41138400148081,4.73,4.29,4.49,4.27,4.42,09X117,I.S. 117 JOSEPH H. WADE
71.0,59.0,98.0,3.31,3.1,3.63,3.02,3.52,09X126,P.S. 126 DR MARJORIE H DUNBAR
75.0,100.0,100.0,3.97,3.85,3.75,3.64,3.07,09X128,MOTT HALL III
38.0,68.0,79.0,3.45,3.74,3.57,3.66,4.3,09X132,P.S. 132 GARRET A. MORGAN
17.0,100.0,74.0,4.74,4.23,3.69,4.23,4.49,09X163,P.S. 163 ARTHUR A. SCHOMBURG
71.0,80.0,99.0,1.93,2.35,2.06,3.63,3.26,09X170,P.S. 170
23.0,87.0,66.0,2.42,2.5,2.54,3.64,2.72,09X199,P.S. 199X - THE SHAKESPEARE SCHOOL
74.0,92.0,91.0,2.76,2.23,2.28,2.96,3.58,09X204,P.S. 204 MORRIS HEIGHTS
100.0,97.0,99.99261539243912,3.11,3.06,2.78,3.7,4.05,09X215,KAPPA
66.0,100.0,81.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.85,09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL
43.0,100.0,95.0,4.57,4.12,4.87,4.15,3.43,09X219,I.S. 219 NEW VENTURE SCHOOL
11.0,89.0,59.0,3.05,3.73,3.13,3.89,3.45,09X227,BRONX COLLEGIATE ACADEMY
42.0,97.0,89.0,4.46,3.99,4.8,3.51,4.39,09X229,I.S. 229 ROLAND PATTERSON
47.0,96.0,65.0,3.38,3.59,2.65,2.94,3.76,09X231,EAGLE ACADEMY FOR YOUNG MEN
19.0,92.0,74.2197484591194,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.33,09X232,I.S. 232
54.0,90.0,85.35802755502158,4.23,4.66,4.0,4.15,3.67,09X236,P.S. 236 LANGSTON HUGHES
36.0,100.0,87.0,4.72,4.58,4.11,4.02,4.53,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE"
97.0,100.0,99.0,4.78,4.46,4.03,4.03,4.35,09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL
75.0,97.0,92.49125038810695,3.67,3.71,4.03,4.23,4.22,09X252,MOTT HALL BRONX HIGH SCHOOL
54.0,67.0,94.0,2.61,2.99,3.31,3.44,3.28,09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS
34.0,95.0,81.0,2.78,3.39,2.7,2.35,2.92,09X263,VALIDUS PREPARATORY ACADEMY
45.0,100.0,91.0,4.08,3.62,4.02,3.87,3.88,09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK
55.0,81.0,81.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,4.08,09X294,THE WALTON AVENUE SCHOOL
78.0,100.0,95.0,4.28,3.87,3.96,3.13,3.65,09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES
73.0,96.0,91.0,4.22,3.9,3.72,4.38,4.18,09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE
39.0,67.0,95.0,3.5,3.6,3.43,3.62,3.53,09X311,LUCERO ELEMENTARY SCHOOL
51.0,89.0,88.0,2.82,2.94,2.22,2.44,2.96,09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT
99.0,100.0,97.0,3.8,3.69,3.9,3.32,3.34,09X323,BRONX WRITING ACADEMY
100.0,100.0,97.0,4.44,4.31,4.93,4.63,4.54,09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING
64.0,87.0,81.0,4.03,3.61,3.69,2.74,3.98,09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327
13.0,100.0,48.0,2.49,2.72,2.11,3.16,3.41,09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL
51.0,78.0,90.0,3.57,3.61,3.07,3.59,3.85,09X329,DREAMYARD PREPARATORY SCHOOL
34.0,100.0,98.0,3.5,3.72,2.73,4.28,4.18,09X339,I.S. 339
68.0,100.0,90.68043122465636,4.28,3.95,4.15,3.98,4.09,09X350,NEW DIRECTIONS SECONDARY SCHOOL
87.0,90.0,95.36313056309929,4.36,4.47,3.64,4.15,4.06,09X361,THE HIGHBRIDGE GREEN SCHOOL
77.0,94.0,93.0,4.48,4.57,4.57,3.89,4.47,09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY
52.0,86.0,82.33936374726953,2.86,2.92,2.27,3.89,3.58,09X403,BRONX INTERNATIONAL HIGH SCHOOL
66.0,79.0,85.0,2.82,3.31,2.59,1.89,2.69,09X404,SCHOOL FOR EXCELLENCE
86.0,100.0,79.0,3.47,3.54,3.99,3.08,3.54,09X412,BRONX HIGH SCHOOL OF BUSINESS
13.0,85.0,44.0,2.85,3.16,3.2,3.16,2.76,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE
34.0,100.0,55.0,2.61,2.93,2.73,2.23,2.94,09X443,THE FAMILY SCHOOL
95.0,100.0,99.99126178637862,4.3,4.43,4.49,4.4,4.27,09X449,GRANT AVENUE ELEMENTARY SCHOOL
51.0,79.0,91.0,4.81,4.44,4.3,4.11,4.42,09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL
