"Total Parent 
Response Rate %",Total Teacher Response Rate %,Total Student Response Rate %,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,DBN,School Name
33.0,100.0,88.0,3.52,4.17,3.25,3.21,2.99,02M139,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL
88.0,100.0,96.20320423142189,4.97,4.23,4.23,4.66,4.45,02M150,P.S. 150
75.0,100.0,93.78979194625789,4.69,4.18,4.94,4.57,4.24,02M151,YORKVILLE COMMUNITY SCHOOL
69.0,84.0,91.74424746814775,4.25,3.47,4.71,4.23,3.86,02M158,P.S. 158 BAYARD TAYLOR
56.0,92.0,83.0,3.81,2.96,4.02,2.68,3.13,02M167,J.H.S. 167 ROBERT F. WAGNER
44.0,100.0,92.0,4.66,3.65,3.98,3.89,3.85,02M177,YORKVILLE EAST MIDDLE SCHOOL
52.0,58.0,82.03789792018956,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.96,02M183,P.S. 183 ROBERT L. STEVENSON
92.0,71.0,95.45638387566206,3.58,3.6,3.31,4.35,4.13,02M198,P.S. 198 ISADOR E. IDA STRAUS
85.0,100.0,95.87828315613794,4.83,4.5,4.51,4.49,4.41,02M212,P.S. 212 MIDTOWN WEST
63.0,100.0,97.0,4.58,4.05,4.39,4.23,3.6,02M217,P.S./I.S. 217 ROOSEVELT ISLAND
87.0,100.0,98.0,3.6,3.54,3.6,4.49,3.59,02M225,ELLA BAKER SCHOOL
66.0,73.0,87.3632945203135,4.65,3.75,4.48,4.49,4.52,02M234,P.S. 234 INDEPENDENCE SCHOOL
69.0,88.0,97.0,4.74,4.84,4.17,4.26,4.79,02M255,M.S. 255 SALK SCHOOL OF SCIENCE
46.0,94.0,60.0,3.19,3.46,4.26,2.19,3.15,02M260,THE CLINTON SCHOOL
55.0,86.0,88.30397146244673,4.34,3.43,4.91,4.06,3.52,02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267"
51.0,90.0,96.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.71,02M276,BATTERY PARK CITY SCHOOL
26.0,68.0,51.0,3.67,3.14,3.33,4.0,3.16,02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING
75.0,81.0,90.83585738186844,4.22,3.67,3.71,4.57,4.02,02M281,THE RIVER SCHOOL
46.0,100.0,80.0,3.5,3.78,3.14,4.0,4.06,02M282,URBAN ASSEMBLY MAKER ACADEMY
24.0,86.0,75.0,2.33,2.54,2.92,1.92,2.55,02M288,FOOD AND FINANCE HIGH SCHOOL
58.0,100.0,98.0,4.18,3.7,4.0,3.83,3.65,02M289,I.S. 289
53.0,88.0,88.83815538579256,4.0,2.48,4.45,4.23,2.85,02M290,P.S. 290 MANHATTAN NEW SCHOOL
40.0,100.0,88.0,4.72,4.38,4.44,4.21,4.55,02M294,ESSEX STREET ACADEMY
26.0,95.0,80.0,3.71,3.35,3.75,3.21,3.38,02M297,M.S. 297
56.0,100.0,87.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,4.33,02M298,PACE HIGH SCHOOL
30.0,100.0,84.0,4.4,4.23,3.85,3.95,4.37,02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE"
50.0,100.0,87.0,3.73,4.22,3.43,4.55,3.72,02M303,"FACING HISTORY SCHOOL, THE"
30.0,93.0,77.0,3.23,2.8,3.47,1.96,1.85,02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE"
51.0,65.0,94.0,4.33,3.45,3.64,3.77,4.02,02M308,LOWER MANHATTAN ARTS ACADEMY
26.0,95.0,54.0,3.73,3.66,3.61,3.59,3.9,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES
27.0,87.0,36.0,3.73,3.96,3.08,3.34,4.22,02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING"
71.0,100.0,91.79350877584189,3.54,4.04,4.13,4.49,3.98,02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE"
81.0,82.0,94.59079955867551,3.9,3.75,4.16,4.4,3.85,02M340,SIXTH AVENUE ELEMENTARY SCHOOL
29.0,83.0,80.0,2.13,2.5,3.26,2.82,2.0,02M343,THE PECK SLIP SCHOOL
18.0,69.0,91.0,3.03,2.97,2.88,2.61,2.51,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL
66.0,97.0,93.0,4.46,3.9,4.44,3.78,4.27,02M374,GRAMERCY ARTS HIGH SCHOOL
28.0,97.0,79.0,4.29,3.62,4.65,2.45,3.51,02M376,NYC ISCHOOL
16.0,95.0,71.0,3.28,3.47,3.35,3.74,3.65,02M392,MANHATTAN BUSINESS ACADEMY
79.0,95.0,97.0,3.0,3.17,3.31,3.62,3.33,02M393,BUSINESS OF SPORTS SCHOOL
68.0,98.0,81.0,4.41,4.41,4.08,4.23,3.55,02M394,EMMA LAZARUS HIGH SCHOOL
10.0,74.0,74.0,2.42,2.56,2.39,1.73,2.19,02M397,SPRUCE STREET SCHOOL
15.0,81.0,70.0,3.8,4.38,3.95,3.56,3.67,02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY
50.0,89.0,82.0,3.83,3.73,3.37,3.3,3.31,02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES
43.0,79.0,94.0,4.48,4.07,4.39,4.23,4.04,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL
43.0,80.0,82.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.18,02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL
27.0,87.0,93.0,3.11,2.98,3.88,3.02,2.14,02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES
53.0,80.0,92.0,3.62,3.78,4.49,4.05,3.93,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL
38.0,98.0,94.0,3.32,3.43,2.86,3.26,3.39,02M414,N.Y.C. MUSEUM SCHOOL
31.0,100.0,75.0,3.99,4.22,3.42,3.7,3.84,02M416,ELEANOR ROOSEVELT HIGH SCHOOL
52.0,94.0,90.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.41,02M418,MILLENNIUM HIGH SCHOOL
24.0,100.0,73.0,3.96,3.42,3.14,3.3,3.85,02M419,LANDMARK HIGH SCHOOL
21.0,87.0,72.0,3.43,3.02,2.52,2.94,3.44,02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES
60.0,90.0,89.0,3.88,4.17,3.78,3.77,3.64,02M422,QUEST TO LEARN
21.0,92.0,74.0,4.41,4.41,4.74,3.38,3.76,02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL
5.0,94.0,78.0,2.77,2.84,3.05,2.34,2.06,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE
24.0,82.0,90.0,3.95,3.64,3.67,3.43,4.23,02M432,MURRAY HILL ACADEMY
51.0,80.0,93.0,4.21,3.78,4.77,4.18,3.62,02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES
77.0,82.0,100.0,3.98,4.63,4.23,4.4,4.42,02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE
9.0,97.0,82.0,3.93,3.69,3.7,3.79,3.92,02M439,MANHATTAN VILLAGE ACADEMY
91.0,100.0,91.0,4.67,4.48,4.77,4.17,4.41,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE"
67.0,78.0,69.0,3.38,3.7,3.43,4.09,4.28,02M449,VANGUARD HIGH SCHOOL
37.0,72.0,89.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,4.07,02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL
20.0,87.0,79.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.62,02M473,WASHINGTON IRVING YABC
92.0,83.0,95.0,3.69,3.93,3.68,3.53,4.19,02M475,STUYVESANT HIGH SCHOOL
82.0,100.0,90.0,4.55,3.78,4.51,3.89,4.07,02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE
31.0,100.0,84.0,3.03,3.24,3.45,3.74,3.21,02M500,UNITY CENTER FOR URBAN TECHNOLOGIES
3.0,87.0,62.0,2.84,2.61,2.48,3.22,2.6,02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY
62.0,100.0,86.60159079866305,3.98,4.32,4.17,4.66,4.66,02M519,TALENT UNLIMITED HIGH SCHOOL
11.0,79.0,65.0,2.92,3.24,2.09,1.92,2.16,02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS
31.0,81.0,0.0,3.63,2.12,4.18,2.83,3.21,02M527,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION
78.0,81.0,77.0,3.35,3.91,4.16,4.15,3.55,02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL
28.0,84.0,55.0,3.7,3.95,3.2,3.89,3.55,02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS
63.0,94.0,76.0,4.36,3.87,4.9,3.83,3.91,02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES
8.0,83.0,76.0,3.47,3.74,3.88,1.85,3.85,02M534,HARVEST COLLEGIATE HIGH SCHOOL
68.0,76.0,98.0,2.76,3.25,3.61,2.3,3.72,02M542,MANHATTAN BRIDGES HIGH SCHOOL
40.0,100.0,74.0,3.82,4.38,3.85,3.85,3.88,02M543,NEW DESIGN HIGH SCHOOL
44.0,98.0,65.0,3.21,4.0,2.27,3.48,3.89,02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES
11.0,86.0,29.0,4.34,4.31,4.7,3.3,4.0,02M546,ACADEMY FOR SOFTWARE ENGINEERING
49.0,100.0,73.0,4.35,4.59,4.57,3.87,4.32,02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS
4.0,69.0,17.0,3.72,2.16,4.41,2.71,3.02,02M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL
23.0,91.0,84.0,4.47,4.05,4.09,3.66,4.31,02M560,HIGH SCHOOL M560 - CITY AS SCHOOL
20.0,81.0,74.0,3.19,3.43,3.28,3.84,3.87,02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL
38.0,100.0,60.0,4.04,4.02,3.59,4.62,4.5,02M570,SATELLITE ACADEMY HIGH SCHOOL
26.0,96.0,91.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.8,02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL
30.0,83.0,74.0,4.77,4.3,4.01,3.71,4.46,02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING
25.0,86.0,73.0,2.62,2.51,2.93,3.15,3.02,02M586,HARVEY MILK HIGH SCHOOL
29.0,99.0,79.0,3.21,3.36,2.96,3.35,2.41,02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES
16.0,91.0,70.0,3.65,3.88,2.33,3.45,3.98,02M605,HUMANITIES PREPARATORY ACADEMY
68.0,97.0,96.0,4.51,4.38,3.96,4.32,4.58,02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
20.0,61.0,90.0,2.7,1.35,2.94,3.3,2.73,02M630,ART AND DESIGN HIGH SCHOOL
73.0,100.0,91.89251454242238,4.72,4.66,4.94,4.49,4.65,02M655,LIFE SCIENCES SECONDARY SCHOOL
56.0,71.0,36.0,3.64,3.63,4.44,3.88,3.61,02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL
53.0,81.0,84.10614139272043,3.88,3.52,3.87,4.18,3.91,02M933,CITY KNOLL MIDDLE SCHOOL
69.0,100.0,89.0,3.52,3.87,3.89,4.15,4.12,03M009,P.S. 009 SARAH ANDERSON
91.0,100.0,98.80641720067551,4.5,3.81,3.55,3.89,3.62,03M054,J.H.S. 054 BOOKER T. WASHINGTON
69.0,92.0,90.88891757159695,4.09,3.92,4.08,4.57,3.73,03M075,P.S. 075 EMILY DICKINSON
81.0,97.0,96.30618023749477,3.18,3.46,3.33,4.1,3.1,03M076,P.S. 076 A. PHILIP RANDOLPH
92.0,58.0,99.0,3.47,3.57,3.38,3.59,3.54,03M084,P.S. 084 LILLIAN WEBER
50.0,89.0,86.31291178831542,3.73,3.28,3.83,3.76,2.97,03M087,P.S. 087 WILLIAM SHERMAN
80.0,100.0,96.45214727542829,3.56,3.43,3.93,4.01,3.47,03M145,"P.S. 145, THE BLOOMINGDALE SCHOOL"
67.0,82.0,93.96392644415734,3.25,3.27,4.08,4.01,2.33,03M149,P.S. 149 SOJOURNER TRUTH
31.0,96.0,86.0,3.21,3.16,2.64,3.76,2.21,03M163,P.S. 163 ALFRED E. SMITH
92.0,94.0,99.04962788569415,3.39,3.79,3.47,4.32,3.45,03M165,P.S. 165 ROBERT E. SIMON
91.0,95.0,97.0,3.09,3.1,3.33,4.01,3.51,03M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY
51.0,88.0,85.49150018759832,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.25,03M180,P.S. 180 HUGO NEWMAN
47.0,94.0,86.98461490676003,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,2.25,03M185,THE LOCKE SCHOOL OF ARTS AND ENGINEERING
71.0,100.0,91.72435340071404,3.18,3.35,3.29,3.76,3.68,03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS
100.0,100.0,94.0,3.98,4.34,3.85,4.0,4.34,03M199,P.S. 199 JESSIE ISADOR STRAUS
